Date,Composite,Equity,Event,Macro,Relative
15-Aug,-2.29%,-3.17%,-2.45%,-1.66%,-0.84%
15-Sep,-1.25%,-1.72%,-2.56%,0.53%,-1.46%
15-Oct,1.42%,2.78%,1.03%,-0.64%,0.64%
15-Nov,0.29%,0.16%,-0.68%,1.62%,-0.37%
15-Dec,-0.68%,-0.14%,0.06%,-1.70%,-1.26%
16-Jan,-2.37%,-4.36%,-3.44%,1.70%,-1.68%
16-Feb,-0.52%,-1.41%,-0.83%,1.52%,-0.71%
16-Mar,1.47%,2.94%,1.61%,-1.29%,1.30%
16-Apr,0.46%,0.23%,1.05%,-0.51%,1.84%
16-May,0.56%,1.07%,1.15%,-0.97%,0.75%
16-Jun,-0.06%,-1.13%,-0.70%,2.32%,0.17%
16-Jul,1.59%,2.26%,1.49%,0.51%,1.30%
16-Aug,0.31%,0.60%,1.18%,-1.30%,1.04%
16-Sep,0.53%,0.93%,0.48%,-0.51%,0.74%
16-Oct,-0.53%,-0.82%,-0.24%,-0.97%,0.53%
16-Nov,0.42%,0.37%,1.87%,-0.04%,0.32%
16-Dec,0.86%,0.52%,1.07%,1.10%,1.28%
17-Jan,1.09%,1.88%,1.38%,-1.00%,1.33%
17-Feb,1.06%,1.12%,1.30%,1.11%,0.72%
17-Mar,0.43%,1.06%,-0.17%,-0.39%,0.12%
17-Apr,0.65%,0.91%,1.31%,0.05%,0.35%
17-May,0.49%,0.69%,0.68%,0.35%,0.03%
17-Jun,0.20%,0.83%,0.72%,-1.43%,0.22%
17-Jul,1.14%,1.54%,0.99%,0.70%,0.72%
17-Aug,0.80%,1.16%,0.06%,1.07%,-0.04%
17-Sep,0.50%,1.19%,0.83%,-1.04%,0.39%
17-Oct,1.48%,1.54%,0.90%,2.45%,0.49%
17-Nov,0.28%,0.55%,-0.41%,0.10%,0.14%
17-Dec,0.82%,1.00%,1.03%,0.54%,0.55%
18-Jan,2.68%,3.36%,1.54%,3.17%,1.10%
18-Feb,-1.72%,-1.83%,-0.36%,-4.09%,0.00%
18-Mar,-0.42%,-0.53%,-0.83%,-0.07%,-0.22%
18-Apr,0.23%,0.04%,0.43%,0.27%,0.55%
18-May,0.42%,0.83%,1.08%,-0.98%,0.26%
18-Jun,-0.41%,-0.96%,0.75%,-0.05%,0.02%
18-Jul,0.30%,0.39%,0.61%,-0.13%,0.51%
